REGIONS,2010,2011,2012,2013,2014,2015,2016,2017,2018,인구 해당
TOTAL COUNTRY,15012228,15266431,15520973,15774749,16027466,16278844,16528730,16776977,17023408,총 인구
SEERRA REGION,6692336,6808224,6924765,7041335,7157782,7273937,7389686,7504942,7619649,총 인구
COST REGION,7499401,7616555,7733291,7849237,7964269,8078285,8191269,8303168,8413888,총 인구
AMAZONIC REGION,760853,780529,800285,820024,839722,859385,878996,898547,918016,총 인구
INSULAR REGION,25884,26576,27284,28000,28726,29453,30172,30890,31600,총 인구
AREAS NOT LIMITED,33754,34547,35348,36153,36967,37784,38607,39430,40255,총 인구
TOTAL COUNTRY,"9,412,612","9,596,628","9,780,650","9,963,884","10,145,875","10,326,384","10,505,180","10,682,148","10,857,208",도시 지역의 총 인구
SEERRA REGION,"3,748,901","3,816,944","3,884,696","3,951,882","4,018,231","4,083,671","4,148,135","4,211,462","4,273,657",도시 지역의 총 인구
COST REGION,"5,348,377","5,453,133","5,558,018","5,662,646","5,766,899","5,870,620","5,973,706","6,076,068","6,177,556",도시 지역의 총 인구
AMAZONIC REGION,"293,870","304,798","315,996","327,406","338,995","350,774","362,656","374,698","386,836",도시 지역의 총 인구
INSULAR REGION,"21,464","21,753","21,940","21,950","21,750","21,319","20,683","19,920","19,159",도시 지역의 총 인구
AREAS NOT LIMITED,0,0,0,0,0,0,0,0,0,도시 지역의 총 인구
TOTAL COUNTRY,"5,599,616","5,669,803","5,740,323","5,810,865","5,881,591","5,952,460","6,023,550","6,094,829","6,166,200",지방 총 인구
SEERRA REGION,"2,943,435","2,991,280","3,040,069","3,089,453","3,139,551","3,190,266","3,241,551","3,293,480","3,345,992",지방 총 인구
COST REGION,"2,151,024","2,163,422","2,175,273","2,186,591","2,197,370","2,207,665","2,217,563","2,227,100","2,236,332",지방 총 인구
AMAZONIC REGION,"466,983","475,731","484,289","492,618","500,727","508,611","516,340","523,849","531,180",지방 총 인구
INSULAR REGION,"4,420","4,823","5,344","6,050","6,976","8,134","9,489","10,970","12,441",지방 총 인구
AREAS NOT LIMITED,"33,754","34,547","35,348","36,153","36,967","37,784","38,607","39,430","40,255",지방 총 인구
TOTAL COUNTRY,"7,443,875","7,567,676","7,691,912","7,815,935","7,939,552","8,062,610","8,184,970","8,306,557","8,427,261",총 남성 인구
SEERRA REGION,"3,249,130","3,306,078","3,363,416","3,420,860","3,478,282","3,535,600","3,592,750","3,649,669","3,706,342",총 남성 인구
COST REGION,"3,769,388","3,825,211","3,881,006","3,936,486","3,991,576","4,046,204","4,100,312","4,153,893","4,206,885",총 남성 인구
AMAZONIC REGION,"393,989","404,306","414,679","425,039","435,395","445,752","456,095","466,425","476,712",총 남성 인구
INSULAR REGION,"13,486","13,815","14,154","14,499","14,848","15,200","15,552","15,903","16,248",총 남성 인구
AREAS NOT LIMITED,"17,882","18,266","18,657","19,051","19,451","19,854","20,261","20,667","21,074",총 남성 인구
TOTAL COUNTRY,"7,568,353","7,698,755","7,829,061","7,958,814","8,087,914","8,216,234","8,343,760","8,470,420","8,596,147",총 여성 인구
SEERRA REGION,"3,443,206","3,502,146","3,561,349","3,620,475","3,679,500","3,738,337","3,796,936","3,855,273","3,913,307",총 여성 인구
